,name,gender,frequency
223,YURY,M,0.00011148673294139644
260,VIKTORIA,F,0.00011132645215877377
224,ULADZIMIR,M,0.00011121196588547187
225,NAZARII,M,0.00010981523335118861
226,BENIAMIN,M,0.00010963205531390557
227,VITALI,M,0.00010931149374866023
228,KORDIAN,M,0.00010912831571137717
229,ARIEL,M,0.00010867037061816955
261,LILLA,F,0.00010805214474233925
262,SŁAWOMIRA,F,0.00010651802868009371
230,HIERONIM,M,0.00010644933691611256
232,VICTOR,M,0.00010640354240679181
231,JEREMI,M,0.00010640354240679181
263,TATSIANA,F,0.00010580821378562188
233,FRYDERYK,M,0.00010564793300299921
264,BERNARDA,F,0.00010418250870473482
234,ALEKSY,M,0.00010356428282890453
235,MIKHAIL,M,0.0001033582075369611
265,ANGELINA,F,0.0001031063377356969
236,ANDRIY,M,0.00010290026244375346
237,WINCENTY,M,0.00010276287891579118
266,VLADYSLAVA,F,0.00010216755029462127
267,ERYKA,F,0.0001020072695119986
268,VOLHA,F,0.00010193857774801745
269,KATSIARYNA,F,0.00010166381069209288
238,ERWIN,M,0.00010086240677897953
239,MAXIMILIAN,M,0.00010054184521373419
240,TYMUR,M,9.99236193379039e-05
270,ZHANNA,F,9.7107257014677e-05
271,PELAGIA,F,9.687828446807319e-05
272,LONGINA,F,9.555024369777107e-05
241,PATRICK,M,9.52754766418465e-05
273,ALEXANDRA,F,9.520678487786536e-05
274,RAISA,F,9.51609903685446e-05
242,ULADZISLAU,M,9.511519585922383e-05
243,ROLAND,M,9.509229860456346e-05
244,SVIATOSLAV,M,9.493201782194079e-05
275,ZOJA,F,9.463435351135582e-05
245,THOMAS,M,9.433668920077086e-05
276,VARVARA,F,9.38100523435821e-05
246,IHAR,M,9.351238803299714e-05
247,ZYGFRYD,M,9.348949077833677e-05
277,NATALLIA,F,9.328341548639333e-05
278,KAMILLA,F,9.310023744911027e-05
248,SERGIUSZ,M,9.273388137454418e-05
279,RYSZARDA,F,9.218434726269502e-05
280,IRINA,F,9.213855275337426e-05
281,WALERIA,F,9.069602570977025e-05
282,ANZHELA,F,9.023808061656262e-05
283,LILA,F,8.943667670344927e-05
284,TEODOZJA,F,8.881845082761899e-05
285,BOHDANA,F,8.877265631829822e-05
286,MIRELA,F,8.787966338654335e-05
249,OSCAR,M,8.751330731197724e-05
287,TEODORA,F,8.678059516284505e-05
250,OLGIERD,M,8.641423908827895e-05
251,AMADEUSZ,M,8.632265006963742e-05
252,ALEH,M,8.607078026837322e-05
253,DZIANIS,M,8.595629399507132e-05
288,FAUSTYNA,F,8.45137669514673e-05
289,MARINA,F,8.300254814388213e-05
290,ADELAJDA,F,8.197217168416498e-05
254,VIKTAR,M,8.178899364688192e-05
291,EVA,F,8.146843208163658e-05
292,NATALIYA,F,8.137684306299507e-05
255,MIKALAI,M,8.10791787524101e-05
293,DARYA,F,8.089600071512706e-05
294,ANASTASIA,F,8.057543914988172e-05
256,NICOLAS,M,8.052964464056096e-05
295,MARIYA,F,8.039226111259866e-05
296,SAMANTA,F,7.956795994482494e-05
297,NEL,F,7.778197408131521e-05
298,OLIMPIA,F,7.773617957199444e-05
299,JAGNA,F,7.769038506267368e-05
257,EMILIAN,M,7.711795369616414e-05
258,HENNADII,M,7.599598821780546e-05
300,SNIZHANA,F,7.576701567120165e-05
301,YAROSLAVA,F,7.540065959663555e-05
302,KSENIA,F,7.466794744750335e-05
259,WALENTY,M,7.416420784497496e-05
260,KEWIN,M,7.407261882633344e-05
261,PETER,M,7.402682431701268e-05
303,MARCELA,F,7.393523529837115e-05
262,MAURYCY,M,7.308803687593704e-05
263,ARTSIOM,M,7.299644785729551e-05
264,OLIWER,M,7.28819615839936e-05
304,MARYLA,F,7.258429727340866e-05
305,GALYNA,F,7.198896865223874e-05
265,BRUNON,M,7.132494826708768e-05
266,MAKAR,M,7.11875647391254e-05
306,MARYIA,F,7.10730784658235e-05
307,EMILIIA,F,6.969924318620061e-05
267,AUGUSTYN,M,6.956185965823832e-05
308,ZORIANA,F,6.926419534765337e-05
309,OKTAWIA,F,6.866886672648346e-05
268,HRYHORII,M,6.846279143454002e-05
310,KONSTANCJA,F,6.830251065191736e-05
269,RAMAN,M,6.791325732269088e-05
270,YURIY,M,6.759269575744554e-05
311,LUCJA,F,6.740951772016248e-05
271,LEOPOLD,M,6.66539083163699e-05
272,ARNOLD,M,6.647073027908686e-05
312,ZYTA,F,6.633334675112456e-05
273,ZAKHAR,M,6.624175773248303e-05
313,NOEMI,F,6.54403538193697e-05
274,IURII,M,6.477633343421864e-05
314,PAMELA,F,6.47076416702375e-05
315,NIKOL,F,6.452446363295444e-05
275,MIKITA,M,6.440997735965253e-05
276,VADZIM,M,6.392913501178453e-05
277,ILYA,M,6.386044324780339e-05
316,EVELINA,F,6.365436795585995e-05
317,CLAUDIA,F,6.360857344653919e-05
318,EMILY,F,6.358567619187881e-05
319,SOPHIE,F,6.289875855206737e-05
320,JAŚMINA,F,6.278427227876547e-05
278,VLADIMIR,M,6.260109424148242e-05
279,NATHAN,M,6.246371071352013e-05
321,WANESSA,F,6.234922444021822e-05
280,BENJAMIN,M,6.230342993089746e-05
281,ARSEN,M,6.170810130972755e-05
282,MYROSLAV,M,6.145623150846335e-05
283,JEREMIASZ,M,6.134174523516144e-05
284,CHRISTIAN,M,6.106697817923687e-05
322,ANZHELIKA,F,6.0952491905934966e-05
323,LEA,F,6.0952491905934966e-05
285,OKTAWIAN,M,6.0586135831368863e-05
286,HERBERT,M,6.038006053942543e-05
324,LEONARDA,F,6.0265574266123525e-05
287,ALEKSANDR,M,6.015108799282162e-05
288,JACOB,M,5.9738937408934753e-05
289,ADOLF,M,5.9578656626312084e-05
325,TETYANA,F,5.932678682504789e-05
326,VIKTORYIA,F,5.857117742125531e-05
290,ANATOL,M,5.838799938397226e-05
327,IULIIA,F,5.8250615856009974e-05
291,ION,M,5.822771860134959e-05
328,BOGNA,F,5.77239789988212e-05
330,FELIKSA,F,5.747210919755701e-05
329,ZOIA,F,5.747210919755701e-05
331,STELLA,F,5.7243136650953195e-05
332,MIRELLA,F,5.705995861367014e-05
292,ALBIN,M,5.705995861367014e-05
293,MAX,M,5.703706135900977e-05
294,WILHELM,M,5.6922575085707857e-05
295,HUGO,M,5.676229430308519e-05
296,KIRYL,M,5.58921986259907e-05
333,ZINAIDA,F,5.584640411666994e-05
334,INEZ,F,5.5823506862009555e-05
335,MICHELLE,F,5.5640328824726504e-05
336,NELIA,F,5.554873980608498e-05
297,EMANUEL,M,5.534266451414155e-05
298,VALERY,M,5.504500020355659e-05
337,TOLA,F,5.495341118491507e-05
338,GANNA,F,5.4243596290443246e-05
299,KORNELIUSZ,M,5.378565119723562e-05
339,MILA,F,5.371695943325448e-05
300,JONASZ,M,5.367116492393372e-05
301,MARKO,M,5.355667865063181e-05
302,DANYIL,M,5.328191159470724e-05
340,SVIATLANA,F,5.309873355742419e-05
303,MIRON,M,5.27094802281977e-05
341,SARAH,F,5.1999665333725886e-05
304,HLIB,M,5.1999665333725886e-05
342,LIUDMILA,F,5.195387082440512e-05
343,SVETLANA,F,5.179359004178245e-05
344,ANA,F,5.177069278712207e-05
305,TIMUR,M,5.1724898277801306e-05
345,KRZYSZTOFA,F,5.158751474983902e-05
346,LARA,F,5.145013122187673e-05
306,WALTER,M,5.138143945789559e-05
307,KIRIL,M,5.1244055929933305e-05
